corp_name,corp_code
강원엘피씨,368737
강원여객자동차,100638
강원오에스,1431401
강원은행,100647
강원일보,100656
강원자석기술,1337992
강원전선,1465657
강원전자,1142659
강원중도개발공사,1030901
강원지오영,864444
강원풍력발전,504737
강원학교관리,610773
강원학교태양광,1077407
강원흥업,1495764
강유산업,916695
강윤,1675722
강율,1682801
강인교통,1468487
강인산업,496483
강인여객,613965
강일건설,1680627
강일기업,1477768
강일디앤씨,1680663
강일약품,1329106
강제규필름,291392
강진,1083967
강진금속,957595
강진문화원,815794
강진베이스볼파크,925958
강진참사랑의료원,809553
강진테크놀리지,1147946
강진항촌태양광,1211898
강촌레일파크,962898
강토중공업,1162079
강평텔레콤,445036
강한건설,1530687
강한종합개발,1643909
강한테크놀러지,1656587
강해개발,690964
강현건설,619288
강호,1508457
강호개발,205748
강호개발,822703
강호디앤씨,1539873
강호디오알,784388
강호산업,1307292
강호에이엠씨,619330
강호파트너스,604772
강화,1039489
강화기업,644585
강화로얄관광호텔,496058
강화바이오골프리조트,685865
강화선진버스,1231485
강화인삼백화점,1178399
강화조력발전,824127
강화클린,1568990
강화티엘,239000
강화파라다이스,485371
강희개발,1389904
강희건설,454742
강희종합개발,866804
개그스테이션,634904
개금유선방송,644026
개금진흥마제스타워,589109
개나리벽지,453099
개념원리,489942
개미식품,1296589
개미플러스유통,652432
개발리스제일차유동화전문유한회사,345055
개벽전자,446080
개봉뉴스테이제삼차,1235445
개봉뉴스테이제이차,1234899
개봉뉴스테이제일차,1164192
개봉신용협동조합,383347
개봉아이알디피에프브이,1663019
개봉현대알이,1585438
개산에프앤씨,785688
개선스포츠,895930
개성건설,975087
개성토건,1459531
개암나무,1330607
개양,114622
개오망디자인,875671
개일건설,1473355
개천산업,455042
개포드림제이차,1234190
개풍산업,1328000
개풍주택개발,437532
개화산역개발제이차,1324794
개화산역개발제일차,1313318
객체정보기술,335216
갤러리,1260566
갤러리리니에,761730
갤러리서미,498931
갤러리아건설,1332924
갤러리아제삼차유동화전문유한회사,511126
갤러리아제이차유동화전문유한회사,508159
갤러리아제일차유동화전문유한회사,411260
갤러리아포레,817598
갤러리에이엠,1138841
갤러리존,445665
갤러리케이,1560086
갤러리해봉,667984
갤러리현대,624545
갤럭스,1618091
갤럭시,1106134
갤럭시게이트,334040
갤럭시디엔아이,1529168
갤럭시리조트,251701
갤럭시스포츠,1040883
갤럭시아넥스트,1664504
갤럭시아디바이스,220242
갤럭시아디스플레이,696108
갤럭시아마이크로페이먼트,1111747
갤럭시아머니트리,587457
갤럭시아메타버스,1578119
갤럭시아미디어,611879
갤럭시아에스엠,129554
갤럭시아원큐제일차,1603248
갤럭시아일렉트로닉스,604435
갤럭시아커뮤니케이션즈,656863
갤럭시아코퍼레이션,929705
갤럭시아포토닉스,412694
갤럭시인베스트먼트,1170245
갤럭시자산운용,1360097
갤럭시코리아,1682379
갤럭시코퍼레이션,1604812
갤럭시타운제일차,1161584
갤트로닉스코리아,1494844
갬코,919489
갬홍콩리미티드,548148
거광기업,1397921
거금솔라파크,1021231
거금이에스에스,1404513
