NH올원리츠,400760,42200000
NH투자증권우,005945,18870968
NH투자증권,005940,331665921
엔케이,085310,79983352
엘브이엠씨홀딩스,900140,99455297
LS전선아시아,229640,30624879
LX하우시스우,108675,1032330
LX하우시스,108670,8967670
LX홀딩스1우,38380K,1465285
LX홀딩스,383800,76280690
LG헬로비전,037560,77446865
엠씨넥스,097520,17977732
영보화학,014440,20000000
영원무역,111770,44311468
영원무역홀딩스,009970,13635592
영진약품,003520,182892731
영풍,000670,1842040
영풍제지,006740,22295000
영화금속,012280,53394505
영흥,012160,101310372
예스코홀딩스,015360,6000000
오뚜기,007310,4007830
오리엔트바이오,002630,118583005
오리온,271560,39536132
오리온홀딩스,001800,62645422
YG PLUS,037270,63429410
와이투솔루션,011690,159235637
우리금융지주,316140,728060549
우리종금,010050,874203406
우성,006980,3090000
우신시스템,017370,18314054
우진,105840,20323614
우진아이엔에스,010400,7622000
우진플라임,049800,20000000
웅진,016880,79927080
웅진씽크빅,095720,115505985
원림,005820,2297970
웰바이오텍,010600,66432104
윌비스,008600,67236039
유니드,014830,6767600
유니드비티플러스,446070,10611215
유니온머티리얼,047400,42000000
유니온,000910,15611619
유니켐,011330,72921381
유니퀘스트,077500,27355975
유성기업,002920,25947500
유수홀딩스,000700,26041812
유안타증권우,003475,12912212
유안타증권,003470,199596576
유엔젤,072130,13195454
유유제약1우,000225,2266930
유유제약2우B,000227,325560
유유제약,000220,17232351
유진투자증권,001200,96866418
유한양행우,000105,1180940
유한양행,000100,73231476
유화증권우,003465,17476425
유화증권,003460,56702415
율촌화학,008730,24800000
이건산업,008250,10952635
이구산업,025820,33442000
이노션,214320,20000000
이리츠코크렙,088260,63341590
이마트,139480,27875819
이수페타시스,007660,63246419
이수화학,005950,27959544
이스타코,015020,42851600
이아이디,093230,101864030
이엔플러스,074610,58337806
이연제약,102460,17998577
이월드,084680,141806193
이지스레지던스리츠,350520,28358617
이지스밸류리츠,334890,36745335
이화산업,000760,2800000
인디에프,014990,70712995
인바이오젠,101140,53396820
인스코비,006490,110714080
인지컨트롤스,023800,15333213
인천도시가스,034590,4374754
인터지스,129260,29747874
인팩,023810,10000000
일동제약,249420,26803285
일동홀딩스,000230,11540400
일성건설,013360,54024880
일성신약,003120,2660000
일신방직,003200,2400000
일신석재,007110,77456610
일양약품우,007575,445080
일양약품,007570,19085664
일정실업,008500,1200000
일진다이아,081000,14202975
일진디스플,020760,51513741
일진머티리얼즈,020150,46110835
일진전기,103590,37080390
일진하이솔루스,271940,36313190
일진홀딩스,015860,49347483
잇츠한불,226320,21929315
자이에스앤디,317400,38782520
자화전자,033240,20059493
전방,000950,1680000
제이알글로벌리츠,348950,197376000
제이에스코퍼레이션,194370,13335601
제이준코스메틱,025620,76982774
제일기획,030000,115041225
제일약품,271980,14704872
제일연마,001560,10000000
제일파마홀딩스,002620,15973355
제주은행,006220,32128774
제주항공,089590,76993711
조광페인트,004910,12800000
조광피혁,004700,6649138
조비,001550,5192239
조선내화,000480,4000000
조선선재,120030,1257651
조일알미늄,018470,126631721
조흥,002600,600000
종근당바이오,063160,5485962
종근당,185750,11988038
종근당홀딩스,001630,5009861
용평리조트,070960,48133333
동남합성,023450,3610000
KCC,002380,8886471
주연테크,044380,59199244
기업은행,024110,744300587
지누스,013890,17232431
GS글로벌,001250,82533764
GS리테일,007070,104717922
지엠비코리아,013870,19072280
지역난방공사,071320,11578744
지투알,035000,16567409
진도,088790,12447744
진양산업,003780,13000000
진양폴리,010640,10000000
진양홀딩스,100250,55895292
진양화학,051630,15800000
진에어,272450,52200000
진원생명과학,011000,77751599
진흥기업우B,002785,857218
진흥기업2우B,002787,294808
진흥기업,002780,145471745
참엔지니어링,009310,58867419
천일고속,000650,1429220
체시스,033250,32000000
초록뱀헬스케어,118000,84704985
카카오뱅크,323410,476633937
카카오,035720,445335988
카카오페이,377300,132700555
카프로,006380,40000000
컨버즈,109070,36810230
케이비아이동국실업,001620,100273016
KC그린홀딩스,009440,22434980
케이씨,029460,13554044
KCC글라스,344820,15970512
KC코트렐,119650,17600456
케이씨텍,281820,20861556
KSS해운,044450,23085880
KEC,092220,144763141
케이카,381970,48086533
케이탑리츠,145270,48060774
KT,030200,261111808
스카이라이프,053210,47821966
KTcs,058850,42685000
KTis,058860,34802000
KT&G,033780,137292497
코람코더원리츠,417310,40400000
코람코에너지리츠,357120,88534474
코리아써우,007815,2964690
코리아써키트2우B,00781K,783699
코리아써키트,007810,23620751
코리안리,003690,120369116
코스맥스,192820,11349509
코스맥스비티아이,044820,9603921
코스모신소재,005070,30650756
코스모화학,005420,35008228
코아스,071950,30907210
코오롱우,002025,1076390
코오롱글로벌우,003075,312803
코오롱글로벌,003070,25210438
코오롱,002020,12626426
코오롱인더우,120115,2767860
코오롱인더,120110,27519091
코오롱플라스틱,138490,38000000
코웨이,021240,73799619
콘텐트리중앙,036420,19262308
콤텍시스템,031820,121051466
쿠쿠홀딩스,192400,35562185
쿠쿠홈시스,284740,22437330
큐로,015590,231211638
크라운제과우,26490K,773560
크라운제과,264900,12523850
크라운해태홀딩스우,005745,600726
크라운해태홀딩스,005740,14847347
크래프톤,259960,49072045
키다리스튜디오,020120,36600741
키움증권,039490,26219513
태경비케이,014580,27583100
태경산업,015890,29228750
태경케미컬,006890,11600000
태광산업,003240,1113400
태림포장,011280,70805940
태양금속우,004105,3300000
태양금속,004100,36700000
태영건설,009410,38899098
태영건설우,009415,1302142
태원물산,001420,7600000
태평양물산,007980,48149587
테이팩스,055490,4717650
텔코웨어,078000,9702706
토니모리,214420,24054799
티에이치엔,019180,18000000
TYM,002900,152353747
티와이홀딩스우,36328K,1255338
티와이홀딩스,363280,50929268
티웨이항공,091810,160330279
티웨이홀딩스,004870,109472167
TKG휴켐스,069260,40878588
파미셀,005690,60016964
팜스코,036580,36727943
팜젠사이언스,004720,15830890
팬오션,028670,534569512
퍼스텍,010820,48061460
퍼시스,016800,11500000
페이퍼코리아,001020,47566810
평화산업,090080,54902259
평화홀딩스,010770,14625466
포스코스틸리온,058430,6000000
포스코인터내셔널,047050,123375149
포스코케미칼,003670,77463220
POSCO홀딩스,005490,84571230
풀무원,017810,38120542
풍산,103140,28024278
풍산홀딩스,005810,10409528
프레스티지바이오파마,950210,60096155
플레이그램,009810,105515652
PI첨단소재,178920,29366322
하나금융지주,086790,295903476
하나제약,293480,17772946
하나투어,039130,16039185
하이브,352820,41353387
하이스틸,071090,20191471
하이트론,019490,9611224
하이트진로2우B,000087,1130138
하이트진로,000080,70133611
하이트진로홀딩스우,000145,470810
하이트진로홀딩스,000140,23206765
한국가스공사,036460,92313000
한국공항,005430,3166355
한국내화,010040,41067062
한국단자,025540,10415000
베트남개발1,096300,137680211
한국석유,004090,12694120
한국수출포장,002200,4000000
한국쉘석유,002960,1300000
한국앤컴퍼니,000240,94935240
유나이티드제약,033270,16244822
한국자산신탁,123890,123977752
한국전력,015760,641964077
한전기술,052690,38220000
한국전자홀딩스,006200,46803136
한국조선해양,009540,70773116
한국종합기술,023350,10950000
한국주강,025890,11309259
한국주철관,000970,22800500
한국철강,104700,42450000
한국카본,017960,43960757
한국콜마,161890,22881180
한국콜마홀딩스,024720,18576719
한국타이어앤테크놀로지,161390,123875069
한국토지신탁,034830,252489230
한국ANKOR유전,152550,70020000
한국패러랠,168490,80020000
한국금융지주우,071055,5858251
한국금융지주,071050,55725992
한국특강,007280,60589598
한국프랜지,010100,30450420
한국항공우주,047810,97475107
한국화장품,123690,16068000
한국화장품제조,003350,4532000
한농화성,011500,15637042
한독,002390,13763533
한미글로벌,053690,10957550
한미반도체,042700,98919754
한미사이언스,008930,68623684
한미약품,128940,12317971
한샘,009240,23533928
한섬,020000,24630000
한성기업,003680,6209515
한세실업,105630,40000000
한세엠케이,069640,30106502
한세예스24홀딩스,016450,40000000
한솔PNS,010420,20493012
한솔로지스틱스,009180,27477425
한솔제지,213500,23800576
한솔케미칼,014680,11335195
한솔테크닉스,004710,32109878
한솔홀딩스,004150,42008577
한솔홈데코,025750,80565149
한신공영,004960,11570702
한신기계,011700,32446151
한양증권우,001755,525000
한양증권,001750,12728534
한온시스템,018880,533800000
한올바이오파마,009420,52240638
한익스프레스,014130,12000000
한일시멘트,300720,69261540
한일철강,002220,26697460
한일현대시멘트,006390,19327672
한일홀딩스,003300,30832884
한전KPS,051600,45000000
한전산업,130660,32600000
한진,002320,14947628
한진중공업홀딩스,003480,29529812
